ASK_ID,Question,ShortAnswer,Answer,URL,Status,Topic,SubCategories,Audiences,RelatedQuestions,UpsellItems
1,I received an offer for a credit card and it said that I was prescreened. What does this mean? Am I guaranteed to be approved if I apply?,,"Card issuers may use a credit reporting agency to make firm offers of credit to consumers whose credit histories meet the criteria asked for by the card issuer (for example, a minimum credit score). This does not mean the credit card issuer must provide you with a credit card. You must still apply. Once you apply, the card issuer can review your application and other information, such as an updated credit report, to determine whether your credit history still meets the criteria it asked for and whether you meet any additional criteria (such as sufficient income to pay the debt) that were in place at the time it made the offer.  Card issuers also may get your name from other sources and send you invitations to apply for a card.",/askcfpb/1/i-received-an-offer-for-a-credit-card-and-it-said-that-i-was-prescreened-what-does-this-mean-am-i-guaranteed-to-be-approved-if-i-apply.html,SUBMITTED,Credit cards,Applying for a credit card | Receiving credit card offers,,"<Question: 7 I am tired of receiving credit card mailings. What can I do?> | <Question: 8 I am tired of receiving phone calls asking me to apply for a credit card. Is this legal? What can I do?> | <Question: 9 I received something in the mail offering me a credit card, but it listed three possible interest rates based on my &#147;creditworthiness.&#148; What does this mean? How can I find out what rate I will be charged?>",Tell Your Story
2,I received something in the mail offering me a credit card and it said that I could stop receiving &#147;prescreened offers of credit.&#148; What does this mean?,,"Card issuers use credit reporting agencies to send offers of credit to individuals who meet certain criteria (for example, a minimum credit score). You can ask credit reporting agencies to not include your name on lists used by creditors to make firm offers of credit (called opting out) for five years by calling 1-888-567-8688. To opt out permanently, go to www.optoutprescreen.com. However, even if you opt out, card issuers can still get your name from other sources and send you invitations to apply for a card.",/askcfpb/2/i-received-something-in-the-mail-offering-me-a-credit-card-and-it-said-that-i-could-stop-receiving-prescreened-offers-of-credit-what-does-this-mean.html,APPROVED,Credit cards,Receiving credit card offers,,"<Question: 8 I am tired of receiving phone calls asking me to apply for a credit card. Is this legal? What can I do?> | <Question: 9 I received something in the mail offering me a credit card, but it listed three possible interest rates based on my &#147;creditworthiness.&#148; What does this mean? How can I find out what rate I will be charged?>",Credit Card Complaint
3,When can a card issuer look at my credit report?,,"A card issuer can look at your full credit report when you apply for a credit card. If you are a customer of the card issuer, it can look at your credit report at any time.",/askcfpb/3/when-can-a-card-issuer-look-at-my-credit-report.html,APPROVED,Credit reports and scores,Understanding credit reports and scores | Applying for a credit card,,<Question: 4 Will my credit score be damaged by card issuers getting my name from a credit reporting agency and sending me an offer?  > | <Question: 5 How do I get a copy of my credit reports?>,Credit Reporting Complaint
4,Will my credit score be damaged by card issuers getting my name from a credit reporting agency and sending me an offer?  ,,"No. Your credit score is not affected by card issuers obtaining your name in this way. If you apply for a credit card, the card issuer will generally obtain your credit report or your credit score and the credit reporting agency file will then reflect that you applied for a credit card. Your credit score can be affected by the number of cards or other loans for which you apply.",/askcfpb/4/will-my-credit-score-be-damaged-by-card-issuers-getting-my-name-from-a-credit-reporting-agency-and-sending-me-an-offer.html,APPROVED,Credit reports and scores,Understanding credit reports and scores | What affects credit scores | Receiving credit card offers,,<Question: 5 How do I get a copy of my credit reports?> | <Question: 7 I am tired of receiving credit card mailings. What can I do?> | <Question: 8 I am tired of receiving phone calls asking me to apply for a credit card. Is this legal? What can I do?>,Credit Reporting Complaint
5,How do I get a copy of my credit reports?,"You are entitled to a free credit report every 12 months from each of the three major consumer reporting companies (Equifax, Experian and TransUnion). You can request a copy from AnnualCreditReport.com.","You can request and review your free report through one of the following ways: Online: Visit  AnnualCreditReport.com Phone: Call 1-877-322-8228 Mail: Download and complete the Annual Credit Report Request form. Mail the completed form to:  Annual Credit Report Request ServiceP.O. Box 105281Atlanta, GA 30348-5281You can request all three reports at once or you can order one report at a time. By requesting the reports separately (for example, one every four months) you can monitor your credit report throughout the year. Once you’ve received your annual free credit report, you can still request additional reports. By law, a credit reporting company can charge no more than $12.00 for a credit report. You are also eligible for reports from specialty consumer reporting companies. We put together a list of several of these companies so you can see which ones might be important to you. You have to request the reports individually from each of these companies. Many of the companies in this list will provide a report for free every 12 months. Other companies may charge you a fee for your report. You can get additional free reports if any of the following apply to you:You received a notice that you were denied credit, insurance, or employment or experienced another “adverse action” based on a credit report, you have a right to a free report from the credit reporting company identified in the notice. To get the free report you must request it within 60 days after you receive the notice. Other types of “adverse action” notices you might receive include notice of an unfavorable change in the terms or amount of your credit or insurance coverage, or unfavorable changes in the terms of your employment or of a license or other government benefit. You believe your file is inaccurate due to fraud. You have requested a credit report from a nationwide credit reporting company in connection with the placing of an initial fraud alert (you may request two free copies for an extended fraud alert). You are unemployed and intend to apply for employment within 60 days from the date of your request. You are a recipient of public welfare assistance. Your state law provides for a free credit report. Tip: Be cautious of websites that claim to offer free credit reports. Some of these websites will only give you a free report if you buy other products or services. Other websites give you a free report and then bill you for services you have to cancel. To get the free credit report authorized by law, go to AnnualCreditReport.com or call (877) 322-8228.",/askcfpb/5/how-do-i-get-my-credit-reports.html,APPROVED,Credit reports and scores,Getting a credit report,,"<Question: 6 I got my free credit reports, but they do not include my credit scores. Can I get my credit score for free too?> | <Question: 318 How do I get and keep a good credit score?> | <Question: 1229 Will requesting my credit report hurt my credit score?>",Credit Reporting Complaint
6,"I got my free credit reports, but they do not include my credit scores. Can I get my credit score for free too?","Free credit reports provided by the nationwide credit reporting agencies currently do not include free credit scores. However, your credit card company may provide a free score.  Be wary of programs offering ""free scores"" if you enroll - they are generally not really free.","You can purchase your score directly from the credit reporting agencies and scoring companies. However, it’s important to check your credit report to make sure the information is accurate because your credit score is based on the information in your credit report. It’s also important to note that the score you purchase may not be the same as the one lenders use to decide whether to give credit. Your credit card company may share a credit score with you for free. Some companies include credit scores on your monthly statements. Note Creditors (including card issuers) generally have to disclose your credit score (and related information) if they use the score and:deny your application,increase the cost of your credit, or offer you a higher rate than other consumers get from that creditor. Mortgage lenders also have to disclose your score when they check your score to approve a mortgage loan.There are other third parties that claim to offer “free” credit scores. However, you should consider the following: You may need to enroll in a program with a fee or purchase a product to get this “free” credit score. That means it is not really free. Sometimes there is period of time during which you can cancel without paying a fee. These programs are not free unless you remember to cancel within the allowed period of time. TIPTake care when sharing personal information with companies that do not already have access to it.",/askcfpb/6/i-got-my-free-credit-reports-but-they-do-not-include-my-credit-scores-can-i-get-my-credit-score-for-free-too.html,APPROVED,Credit reports and scores,Understanding credit reports and scores | Other issues with credit reports and scores,,<Question: 4 Will my credit score be damaged by card issuers getting my name from a credit reporting agency and sending me an offer?  > | <Question: 16 I applied for a credit card and was turned down. What can I do?>,Credit Reporting Complaint
7,I am tired of receiving credit card mailings. What can I do?,,"You can opt out of receiving certain mailings for five years by calling 1-888-567-8688 or visiting www.optoutprescreen.com. You can also opt out permanently by following the instructions online at www.optoutprescreen.com. To complete your request, you must return the signed Permanent Opt-Out Election form, which will be provided after you initiate your online request. If you opt out, card issuers will not be able to get your name from a credit reporting agency. However, card issuers may still get your name from other sources and mail you invitations to apply for a credit card.",/askcfpb/7/i-am-tired-of-receiving-credit-card-mailings-what-can-i-do.html,APPROVED,Credit cards,Receiving credit card offers,,<Question: 1 I received an offer for a credit card and it said that I was prescreened. What does this mean? Am I guaranteed to be approved if I apply?> | <Question: 8 I am tired of receiving phone calls asking me to apply for a credit card. Is this legal? What can I do?> | <Question: 84 I want to close my account. What should I do?>,Credit Card Complaint
8,I am tired of receiving phone calls asking me to apply for a credit card. Is this legal? What can I do?,,"Card issuers can call you about applying for a credit card, unless you have registered your phone number with the National Do Not Call Registry or have notified the particular card issuer to stop calling you. You can register your phone number with the National Do Not Call Registry by visiting www.donotcall.gov or calling 1-888-382-1222.",/askcfpb/8/i-am-tired-of-receiving-phone-calls-asking-me-to-apply-for-a-credit-card-is-this-legal-what-can-i-do.html,APPROVED,Credit cards,Receiving credit card offers,,<Question: 7 I am tired of receiving credit card mailings. What can I do?> | <Question: 84 I want to close my account. What should I do?>,Credit Card Complaint
9,"I received something in the mail offering me a credit card, but it listed three possible interest rates based on my &#147;creditworthiness.&#148; What does this mean? How can I find out what rate I will be charged?",,"The card issuer may decide which interest rate to charge you after it has reviewed your application and your full credit report. Card issuers typically give the lowest rate to customers who have the highest credit scores. You may ask the card issuer what your interest rate will be before applying, but the card issuer may not be able to answer until it can review your full credit report. If you choose to apply and do not receive the lowest rate because of information contained in your credit report, the card issuer is required to provide you the name, address, and telephone number of the credit reporting agency that provided the credit report the card issuer used to make its decision.  If the card issuer used a credit score to make its decision, it also must provide you with the credit score it used as well as the key factors that adversely affected your credit score.  Note: Creditors (including card issuers) generally will have to disclose your credit score (and related information) if they use the score and, based in whole or in part on your credit report:deny your application,increase the cost of your credit, oroffer you a higher rate than other consumers get from that creditor (when the offer has more than one interest rate).",/askcfpb/9/i-received-something-in-the-mail-offering-me-a-credit-card-but-it-listed-three-possible-interest-rates-based-on-my-creditworthiness-what-does-this-mean-how-can-i-find-out-what-rate-i-will-be-charged.html,APPROVED,Credit reports and scores,Building a credit record | Interest rates,,"<Question: 10 I applied for a card with one set of terms, but was offered a different card with different terms. What is the credit card company required to do in this situation?> | <Question: 11 I applied for a credit card in response to an offer I received in the mail. I received the interest rate and other terms in the offer, but they gave me only a $250 credit limit. How is that possible?> | <Question: 44 What is a credit card interest rate?  What does APR mean?>",Credit Reporting Complaint
10,"I applied for a card with one set of terms, but was offered a different card with different terms. What is the credit card company required to do in this situation?",,"If you were turned down for one card and offered a different card with different terms that you do not expressly accept, the card issuer is required to disclose to you the reasons it denied your application. In addition, the card issuer generally is required to provide you the name, address, and telephone number of the credit reporting agency that provided the credit report the card issuer used to make its decision. If the card issuer used a credit score to make its decision, it also must provide you with the credit score it used, as well as the key factors that adversely affected your credit score. You have the right to request a free copy of the credit report from the credit reporting agency and to request that the credit reporting agency investigate any information you believe is inaccurate.If you are offered a different card with different terms, the card issuer must provide full disclosures about the new offer for credit.",/askcfpb/10/i-applied-for-a-card-with-one-set-of-terms-but-was-offered-a-different-card-with-different-terms-what-is-the-credit-card-company-required-to-do-in-this-situation.html,APPROVED,Credit reports and scores,Getting a credit report | Applying for a credit card | Interest rates,,"<Question: 11 I applied for a credit card in response to an offer I received in the mail. I received the interest rate and other terms in the offer, but they gave me only a $250 credit limit. How is that possible?> | <Question: 14 Can the card issuer request information about my income, my age, and my Social Security Number when I apply for a credit card?> | <Question: 16 I applied for a credit card and was turned down. What can I do?>",Credit Reporting Complaint
